Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,
2017,1,1,0,30,3.7,0,0,0,7,2.4000000000000004,0,0,0,0,0.367,91.03,145.08,0.87,1020,1.3,310,3.2,N/A
2017,1,1,1,30,3.3000000000000003,0,0,0,4,1.9000000000000001,0,0,0,0,0.365,90.7,134.1,0.87,1020,1.2000000000000002,309,3,N/A
2017,1,1,2,30,3,0,0,0,4,1.5,0,0,0,0,0.362,89.67,122.82000000000001,0.87,1020,1.2000000000000002,305,2.6,N/A
2017,1,1,3,30,2.7,0,0,0,4,1,0,0,0,0,0.358,88.72,111.63,0.87,1021,1.2000000000000002,295,2.2,N/A
2017,1,1,4,30,2.4000000000000004,0,0,0,4,0.6000000000000001,0,0,0,0,0.353,87.9,100.81,0.87,1021,1.2000000000000002,280,1.9000000000000001,N/A
2017,1,1,5,30,2.4000000000000004,0,0,0,4,0.2,0,0,1,0,0.34700000000000003,85.66,90.04,0.87,1021,1.1,262,2,N/A
2017,1,1,6,30,2.6,67,297,111,4,0.2,15,0,3,15,0.342,83.95,81.36,0.87,1022,1.1,246,2.1,N/A
2017,1,1,7,30,3,108,518,254,4,0,34,0,0,34,0.338,80.46000000000001,73.66,0.87,1022,1.1,237,2.3000000000000003,N/A
2017,1,1,8,30,3.4000000000000004,130,637,370,4,-0.2,52,0,3,52,0.336,77.5,67.88,0.87,1022,1,232,2.5,N/A
2017,1,1,9,30,3.8000000000000003,130,720,439,4,-0.1,186,170,0,259,0.335,75.46000000000001,64.6,0.87,1021,1,229,2.6,N/A
2017,1,1,10,30,4.1000000000000005,128,738,449,4,-0.1,167,354,0,320,0.334,74.36,64.24,0.87,1021,0.9,226,2.7,N/A
2017,1,1,11,30,4.3,115,720,398,4,0,151,324,0,278,0.333,73.58,66.83,0.87,1020,0.9,223,2.8000000000000003,N/A
2017,1,1,12,30,4.3,91,672,298,4,0,113,14,0,118,0.331,73.54,72.05,0.87,1020,0.8,222,2.8000000000000003,N/A
2017,1,1,13,30,3.8000000000000003,63,512,157,4,0.1,33,0,3,33,0.33,76.52,79.34,0.87,1020,0.8,221,2.4000000000000004,N/A
2017,1,1,14,30,3.2,17,136,22,4,0.2,6,0,3,6,0.329,80.44,87.99,0.87,1020,0.8,223,2.2,N/A
2017,1,1,15,30,2.8000000000000003,0,0,0,4,-0.2,0,0,0,0,0.328,80.83,98.26,0.87,1020,0.7000000000000001,227,2.2,N/A
2017,1,1,16,30,2.7,0,0,0,1,-0.30000000000000004,0,0,0,0,0.327,80.63,108.94,0.87,1020,0.7000000000000001,230,2.2,N/A
2017,1,1,17,30,2.6,0,0,0,0,-0.4,0,0,0,0,0.326,80.58,120.07000000000001,0.87,1020,0.7000000000000001,231,2.3000000000000003,N/A
2017,1,1,18,30,2.4000000000000004,0,0,0,4,-0.5,0,0,0,0,0.325,81.14,131.35,0.87,1020,0.7000000000000001,229,2.3000000000000003,N/A
2017,1,1,19,30,2.3000000000000003,0,0,0,0,-0.6000000000000001,0,0,0,0,0.324,80.98,142.45000000000002,0.87,1021,0.7000000000000001,224,2.4000000000000004,N/A
2017,1,1,20,30,2.1,0,0,0,0,-0.8,0,0,0,0,0.322,81.18,152.67000000000002,0.87,1020,0.7000000000000001,218,2.4000000000000004,N/A
2017,1,1,21,30,1.9000000000000001,0,0,0,0,-0.9,0,0,0,0,0.32,81.94,160.20000000000002,0.87,1020,0.7000000000000001,211,2.5,N/A
2017,1,1,22,30,1.7000000000000002,0,0,0,1,-0.9,0,0,0,0,0.318,82.86,161.22,0.87,1020,0.7000000000000001,205,2.5,N/A
2017,1,1,23,30,1.6,0,0,0,4,-1,0,0,0,0,0.317,83.01,154.91,0.87,1020,0.7000000000000001,202,2.6,N/A
2017,1,2,0,30,1.2000000000000002,0,0,0,4,-1,0,0,0,0,0.314,84.95,145.11,0.12,1019,0.7000000000000001,195,2.7,N/A
2017,1,2,1,30,1,0,0,0,4,-1.1,0,0,0,0,0.311,85.89,134.14000000000001,0.12,1019,0.7000000000000001,193,2.8000000000000003,N/A
2017,1,2,2,30,0.7000000000000001,0,0,0,0,-1.1,0,0,0,0,0.307,87.43,122.85000000000001,0.12,1019,0.7000000000000001,190,2.9000000000000004,N/A
2017,1,2,3,30,0.5,0,0,0,0,-1.2000000000000002,0,0,0,0,0.303,88.42,111.66,0.12,1019,0.7000000000000001,187,3,N/A
2017,1,2,4,30,0.2,0,0,0,0,-1.2000000000000002,0,0,0,0,0.299,90.09,100.84,0.12,1019,0.7000000000000001,187,3.2,N/A
2017,1,2,5,30,0.7000000000000001,0,0,0,0,-1.2000000000000002,0,0,0,0,0.297,86.96000000000001,90.04,0.12,1020,0.7000000000000001,189,3.4000000000000004,N/A
2017,1,2,6,30,1.8,42,528,122,0,-0.9,42,528,0,122,0.296,82.48,81.36,0.12,1020,0.6000000000000001,194,3.7,N/A
