Temperature,Cloud Type,Dew Point,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Label
4.3,4,0.0,14,0,118,0.331,73.54,0.87,1020,0.8,222,2.8000000000000003,89.91819934833933
7.300000000000001,2,2.7,154,0,259,0.292,72.34,0.12,1016,1.0,210,4.9,174.3906848681284
6.1000000000000005,0,1.4,673,0,200,0.292,71.98,0.87,1013,1.0,180,2.8000000000000003,532.9872199189864
8.200000000000001,8,5.7,61,3,30,0.314,83.96000000000001,0.87,1004,1.7000000000000002,187,4.800000000000001,68.01637626742769
5.2,1,3.8,109,0,42,0.393,90.61,0.87,1014,1.2000000000000002,31,3.3000000000000003,180.42560891801236
1.0,4,-3.7,10,0,181,0.397,70.66,0.87,1026,0.6000000000000001,355,5.1000000000000005,65.34916294389308
5.4,4,-0.7000000000000001,9,0,174,0.323,65.0,0.87,1024,0.7000000000000001,57,3.4000000000000004,86.57510513446283
1.3,1,-4.0,212,0,25,0.327,67.6,0.12,1028,0.4,117,2.7,271.37633987431354
5.1000000000000005,0,-4.800000000000001,759,0,281,0.322,48.76,0.12,1026,0.4,73,0.8,743.2002588092066
4.7,0,-1.0,609,0,178,0.314,66.35,0.12,1028,0.7000000000000001,211,3.2,551.1982823191258
6.2,0,0.9,654,0,266,0.302,68.81,0.12,1026,1.1,233,2.4000000000000004,672.0964726613453
10.4,4,7.2,149,0,244,0.319,80.5,0.12,1019,2.0,215,4.4,73.16067223032007
4.7,4,-0.9,24,0,230,0.342,67.08,0.11,1029,0.6000000000000001,48,6.9,169.6751967483293
2.2,4,-2.4000000000000004,4,0,161,0.376,71.84,0.11,1028,0.6000000000000001,5,4.2,63.83911699776087
5.4,0,-2.1,888,0,547,0.319,58.35,0.12,1026,0.8,114,1.9,860.4024581366785
13.7,0,8.200000000000001,751,0,369,0.337,69.55,0.12,1012,1.6,226,5.7,698.2690591394303
12.9,0,9.9,439,0,194,0.353,82.21000000000001,0.12,1006,1.8,244,1.9,445.2986160119366
11.0,7,6.300000000000001,328,0,517,0.307,72.85000000000001,0.12,1016,1.8,351,1.0,304.5622650124167
11.8,0,6.1000000000000005,908,0,710,0.29,67.98,0.12,1021,0.8,69,2.2,892.7313934286622
12.9,2,7.1000000000000005,116,0,391,0.373,67.83,0.12,1002,1.5,16,2.0,195.9313775009512
8.200000000000001,0,6.9,93,0,52,0.372,91.6,0.12,1002,1.7000000000000002,35,4.3,168.557307962822
9.1,0,1.8,934,0,787,0.357,60.1,0.12,1014,0.9,237,5.0,893.2224745111869
9.6,0,1.0,934,0,751,0.358,55.1,0.12,1012,0.9,233,5.2,885.0462302942659
15.2,0,7.9,730,0,467,0.345,61.76,0.12,1011,1.7000000000000002,35,1.7000000000000002,757.7603430180384
11.6,0,4.9,878,0,509,0.34,63.38,0.12,1013,0.7000000000000001,47,5.2,861.5737745698112
13.2,7,6.800000000000001,429,3,518,0.335,65.16,0.12,1018,1.1,13,2.8000000000000003,369.0592300789865
6.2,0,2.8000000000000003,327,0,71,0.333,78.88,0.12,1020,1.0,94,2.2,303.4730627293284
7.7,0,2.8000000000000003,644,0,264,0.33,71.33,0.12,1020,0.9,84,2.6,651.1688696199894
9.4,0,4.4,726,0,280,0.316,71.21000000000001,0.12,1018,0.7000000000000001,85,3.2,706.5690896039214
13.1,0,6.7,863,0,641,0.349,65.03,0.12,1015,1.0,56,1.4,859.0745426622004
6.4,1,3.2,377,0,92,0.367,79.76,0.13,1019,0.5,56,4.2,369.0615352286642
9.3,0,2.9000000000000004,766,0,352,0.361,64.49,0.13,1018,0.5,51,4.9,747.7052630138036
12.3,2,5.0,214,0,585,0.398,60.89,0.13,1022,1.1,178,2.2,324.9054813174316
10.7,7,8.1,367,0,409,0.33,83.91,0.13,1013,0.9,62,2.8000000000000003,280.7366215813695
12.1,6,7.7,70,0,447,0.332,74.61,0.13,1014,1.0,46,3.4000000000000004,224.465165147721
15.2,2,8.0,172,0,342,0.356,62.190000000000005,0.13,1014,1.6,255,0.7000000000000001,197.57545134065816
15.1,0,7.0,823,0,826,0.364,58.34,0.13,1013,1.6,198,1.8,880.3931251627945
9.8,0,5.0,564,0,200,0.374,72.07000000000001,0.14,1022,0.8,127,2.8000000000000003,537.9207186225239
20.5,0,11.7,845,0,856,0.343,56.9,0.14,1011,1.8,239,1.2000000000000002,849.6558852965238
17.6,0,12.8,645,0,563,0.361,73.54,0.14,1009,1.9,79,1.6,704.4957611632624
19.700000000000003,0,12.4,790,0,908,0.343,62.58,0.14,1012,2.0,358,1.8,838.2393102074457
13.5,0,13.0,124,0,47,0.35,96.71,0.14,1012,2.0,82,2.5,108.09994363125878
18.6,7,14.1,21,0,177,0.369,75.23,0.14,1010,2.5,33,2.1,53.57973692231678
14.2,0,13.6,87,0,45,0.376,95.98,0.14,1007,2.4000000000000004,252,1.7000000000000002,94.86146504235717
15.9,6,12.4,13,0,167,0.416,79.88,0.14,1008,2.2,294,1.9,2.89947639722908
20.700000000000003,0,12.9,864,0,881,0.346,60.870000000000005,0.15,1002,2.1,249,3.0,825.3545925354406
17.8,0,13.2,658,0,589,0.343,74.65,0.15,1003,2.4000000000000004,98,2.1,699.134080436745
17.3,2,12.8,252,0,448,0.356,75.06,0.16,1018,2.2,22,3.9,193.45797621127429
18.1,2,12.9,115,0,524,0.357,71.57000000000001,0.16,1019,2.0,14,3.9,231.41115591046508
15.5,0,12.3,280,0,77,0.362,81.41,0.16,1020,1.8,40,3.2,242.83324679593204
16.400000000000002,7,8.9,291,1,471,0.365,61.05,0.15,1012,1.0,40,6.800000000000001,308.0299936623501
18.6,2,9.5,456,0,749,0.366,55.57,0.16,1010,1.3,301,1.2000000000000002,398.4745558894844
18.3,0,11.4,906,0,924,0.361,63.91,0.16,1015,1.5,25,1.3,882.5473848265016
17.1,0,13.9,328,0,101,0.358,81.46000000000001,0.16,1015,2.5,39,4.4,297.30608941350795
17.900000000000002,0,15.3,541,0,272,0.346,84.82000000000001,0.15,1014,2.1,226,3.8,548.5834474943616
